minutes_watched,CLV,region,channel,CLV_wins,Region,Channel
339.0,62.58,2,7,62.58,Rest_of_the_world,Friend
1823.0,119.44,2,7,119.44,Rest_of_the_world,Friend
335.0,36.0,2,2,36.0,Rest_of_the_world,Facebook
489.0,62.58,2,8,62.58,Rest_of_the_world,Other
8666.0,34.77,1,7,34.77,West_EU,Friend
190.0,118.66,0,4,118.66,USA/Canada/As,LinkedIn
2984.0,119.0,2,2,119.0,Rest_of_the_world,Facebook
747.0,218.0,2,4,218.0,Rest_of_the_world,LinkedIn
3208.0,0.0,2,8,0.0,Rest_of_the_world,Other
11873.0,151.16,2,2,151.16,Rest_of_the_world,Facebook
1034.0,119.0,2,2,119.0,Rest_of_the_world,Facebook
160.0,119.0,1,4,119.0,West_EU,LinkedIn
5627.0,62.58,2,3,62.58,Rest_of_the_world,YouTube
3954.0,154.08,2,7,154.08,Rest_of_the_world,Friend
210.0,62.58,2,3,62.58,Rest_of_the_world,YouTube
592.0,138.68,0,7,138.68,USA/Canada/As,Friend
711.0,19.0,2,6,19.0,Rest_of_the_world,Instagram
33.0,36.0,2,3,36.0,Rest_of_the_world,YouTube
254.0,62.58,2,7,62.58,Rest_of_the_world,Friend
29.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
113.0,143.25,1,4,143.25,West_EU,LinkedIn
627.0,72.57,2,4,72.57,Rest_of_the_world,LinkedIn
4423.0,62.57,2,4,62.57,Rest_of_the_world,LinkedIn
575.0,119.0,0,2,119.0,USA/Canada/As,Facebook
539.0,72.52,2,3,72.52,Rest_of_the_world,YouTube
621.0,119.0,2,3,119.0,Rest_of_the_world,YouTube
1327.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
2245.0,62.58,2,1,62.58,Rest_of_the_world,Google
1644.0,119.0,2,6,119.0,Rest_of_the_world,Instagram
40.0,119.0,0,6,119.0,USA/Canada/As,Instagram
2689.0,119.0,2,3,119.0,Rest_of_the_world,YouTube
632.0,174.0,0,4,174.0,USA/Canada/As,LinkedIn
1102.0,119.0,0,7,119.0,USA/Canada/As,Friend
6627.0,62.58,2,1,62.58,Rest_of_the_world,Google
12.0,36.0,2,4,36.0,Rest_of_the_world,LinkedIn
4931.0,64.8,2,8,64.8,Rest_of_the_world,Other
918.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
148.0,137.66,0,3,137.66,USA/Canada/As,YouTube
1171.0,62.58,2,7,62.58,Rest_of_the_world,Friend
5348.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
2583.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
5021.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
39.0,119.0,2,4,119.0,Rest_of_the_world,LinkedIn
1034.0,180.07,1,3,180.07,West_EU,YouTube
2.0,119.0,0,5,119.0,USA/Canada/As,Twitter
449.0,19.0,2,7,19.0,Rest_of_the_world,Friend
